POS,Name,TM,TM,LG,Lev,B,T,VAL,OVAL,CID,DEF,G,GS,PA,AB,H,1B,2B,3B,HR,RBI,R,BB,IBB,HP,SH,SF,CI,SO,GDP,RC,RC/27,ISO,wOBA,OPS,OPS+,BABIP,WPA,wRC,wRC+,wRAA,WAR,PI/PA,SB,CS,BatR,wSB,UBR,BsR,G,GS,W,L,SVO,SV,HLD,IP,BF,AB,HA,1B,2B,3B,HR,TB,R,ER,BB,IBB,K,HP,ERA,WHIP,SH,SF,WP,BK,CI,DP,RA,GF,pLi,QS,CG,SHO,PPG,PI,GB,FB,GO%,SB,CS,ERA+,FIP,FIP-,WPA,WAR,rWAR,G,GS,TC,A,PO,E,DP,TP,PCT,RNG,ZR,EFF,SBA,RTO,IP,PB,ER,CERA,BIZ-R,BIZ-Rm,BIZ-L,BIZ-Lm,BIZ-E,BIZ-Em,BIZ-U,BIZ-Um,BIZ-Z,BIZ-Zm,BIZ-I
SP,Jim Abbott,Vero Beach,VB,,TRN,L,L,69,69,11033,64, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,.000,.000,.000,-100,.000,0.00,0,100,-0.0,0.0,0.00,0,0,-0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,999,0.00,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0
SP,Vic Aldridge,Richmond Hill,RHO,,TRN,R,R,69,69,15839,42, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,.000,.000,.000,-100,.000,0.00,0,100,-0.0,0.0,0.00,0,0,-0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,999,0.00,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0
SP,Vic Aldridge,Aberdeen,ABE,,TRN,R,R,69,69,15839,42, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,.000,.000,.000,-100,.000,0.00,0,100,-0.0,0.0,0.00,0,0,-0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,6.0,21,18,1,0,1,0,0,2,2,2,3,0,5,0,3.00,0.67,0,0,0,0,0,0,0,0,0.78,1,0,0,83,83,8,4,0.67,0,1,127,3.08,80,-0.0,0.1,0.2,1,1,1,0,1,0,0,0,1.000,1.50,-0.1,.000,0,0,6.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0
SP,Vic Aldridge,Asheville,ASHE,,TRN,R,R,69,69,15839,42, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,.000,.000,.000,-100,.000,0.00,0,100,-0.0,0.0,0.00,0,0,-0.0,0.0,0.0,0.0,3,3,1,2,0,0,0,15.2,70,63,19,12,3,0,4,34,9,8,5,0,15,1,4.60,1.53,0,1,0,0,0,2,0,0,1.03,1,0,0,89,268,17,12,0.59,2,1,83,5.80,151,-0.2,-0.2,0.0,3,3,1,1,0,0,0,0,1.000,0.57,-0.1,1.018,0,0,15.2,0,0,0.00,0,0,1,1,0,0,0,0,0,0,0
SP,Vic Aldridge,Federal Way,FW,,TRN,R,R,69,69,15839,42, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,.000,.000,.000,-100,.000,0.00,0,100,-0.0,0.0,0.00,0,0,-0.0,0.0,0.0,0.0,2,2,1,1,0,0,0,10.1,47,42,12,6,1,1,4,27,8,7,4,0,6,0,6.10,1.55,0,1,0,0,0,1,0,0,1.01,0,0,0,85,171,17,7,0.71,2,0,63,8.28,216,-0.5,-0.4,-0.2,2,2,2,1,1,0,0,0,1.000,1.74,-0.0,1.018,0,0,10.1,0,0,0.00,0,0,1,1,0,0,0,0,0,0,0
SP,Vic Aldridge,Petersburg,PET,,TRN,R,R,69,69,15839,42, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,.000,.000,.000,-100,.000,0.00,0,100,-0.0,0.0,0.00,0,0,-0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,999,0.00,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0
SP,Vic Aldridge,San Jose,SJA,,TRN,R,R,69,69,15839,42, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,.000,.000,.000,-100,.000,0.00,0,100,-0.0,0.0,0.00,0,0,-0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,6.1,20,20,1,1,0,0,0,1,0,0,0,0,4,0,0.00,0.16,0,0,0,0,0,0,0,0,0.64,1,0,0,97,97,9,6,0.60,0,0,999,1.98,51,0.2,0.3,0.5,1,1,2,1,1,0,0,0,1.000,2.84,-0.0,1.018,0,0,6.1,0,0,0.00,1,1,0,0,0,0,0,0,0,0,0
SP,Vic Aldridge,Burlington,BUR,,TRN,R,R,69,69,15839,42, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,.000,.000,.000,-100,.000,0.00,0,100,-0.0,0.0,0.00,0,0,-0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,999,0.00,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0
SP,Vic Aldridge,Kamouraska,LP,,TRN,R,R,69,69,15839,42, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,.000,.000,.000,-100,.000,0.00,0,100,-0.0,0.0,0.00,0,0,-0.0,0.0,0.0,0.0,3,3,2,1,0,0,0,17.0,76,71,23,17,4,1,1,32,7,7,3,0,11,2,3.71,1.53,0,0,2,0,0,1,0,0,0.91,2,0,0,91,275,19,18,0.51,1,2,103,3.60,94,0.1,0.3,0.3,3,3,5,3,2,0,0,0,1.000,2.65,0.1,1.018,0,0,17.0,0,0,0.00,2,2,0,0,2,2,0,0,0,0,0
SP,Vic Aldridge,Vero Beach,VB,,TRN,R,R,69,69,15839,42, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,.000,.000,.000,-100,.000,0.00,0,100,-0.0,0.0,0.00,0,0,-0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,7.0,23,20,1,1,0,0,0,1,0,0,3,0,5,0,0.00,0.57,0,0,0,0,0,1,0,0,1.00,1,0,0,98,98,10,4,0.71,0,1,999,3.10,81,0.4,0.2,0.6,1,1,1,1,0,0,0,0,1.000,1.29,-0.1,1.018,0,0,7.0,0,0,0.00,1,1,0,0,0,0,0,0,0,0,0
